Arginine,Histidine,Lysine,Aspartic Acid,Glutamic Acid,Serine,Threonine,Asparagine,Glutamine,Cysteine,Glycine,Proline,Alanine,Isoleucine,Valine,Leucine,Methionine,Phenylalaine,Tyrosine,Tryptophan
8,7,6,5,6,3,4,5,6,3,1,4,2,5,4,5,5,8,9,11
7,6,5,4,5,2,3,4,5,2,0,4,1,4,3,4,4,8,9,12
12,14,10,8,10,4,6,8,10,4,0,8,2,8,6,8,8,14,18,24
6,6,4,4,5,2,3,4,4,2,1,4,1,4,3,4,4,6,7,8
8.12,6.71,7,5.17,6,1.67,3.25,5,5.86,2.33,0,4,1,3.25,3.25,5,5.4,7,8.88,11.1
6,6,5,3,4,2,1,3,4,1,0,4,1,3,1,3,3,6,6,9
12,9,9,6,8,3,4,6,8,3,0,4,1,6,4,6,7,11,13,14
1.5,2,1.667,1.6,1.667,1.333,1.5,1.6,1.667,1.333,0,2,1,1.6,1.5,1.6,1.6,1.75,2,2.182
12.499,12.876,10.363,11.539,11.53,5,9.928,11.539,12.207,6.243,0,12,2,10.851,9.928,11.029,9.49,14.851,12.868,13.511
-4.307,-3.721,-3.151,-4.178,-3.425,1,-3.928,-4.178,-4.255,-2.243,0,-4,0,-6.085,-3.928,-4.729,-2.812,-4.801,-4.793,-6.324
3.5,4.286,3,3.2,3.333,2,3,3.2,3.333,2,0,4,1,1.8,3,3.2,2.8,4.25,4.333,4
-2.59,-1.185,-0.536,0.528,-0.538,2,3,0.528,-1.043,2,0,4,2,-1.517,3,1.052,0.678,-1.672,-2.054,-2.576
19,15,12,12,12,6,6,12,12,6,1,12,6,12,6,12,18,18,18,24
31.444,23.1,24.5,16.4,21,13.33,12.4,16.5,21.167,16.67,3.5,12,6,15.6,10.5,15.6,27.2,23.25,27.78,27.5
20,18,18,12,14,8,8,14,15,12,1,12,6,12,6,12,18,18,20,18
38,31,31,20,26,20,14,20,24,22,6,12,6,18,12,18,34,24,38,36
45,47,37,34,40,22,27,33.007,39,28,7,24,12,30,24.007,30,40,48,56,68
5,4.7,6.17,6.8,6.67,7.33,5.4,6.6,6.5,9.33,3.5,6,6,6,6,6,8,6,6.22,5.667
23.343,24.243,22.739,28.634,28.731,20,23.819,27.708,27.831,28,7,24,12,24.841,24,25.021,31.344,26.993,28.252,29.778
0,-1.734,-0.179,0,0,0,-4.227,0,0,0,0,0,0,-1.641,0,0,0,0,-0.96,0.211
10.667,10.4,10.167,10.4,10.667,8.667,9,10,10.5,11.333,3.5,12,6,9.6,9,9.6,13.6,12,12.222,12.75
4.2,1.605,1.372,2.969,1.822,6,6,3,1.849,6,0,12,0,3.373,6,3.113,2.656,2.026,1.599,2.044
